group,dominant_topic,topic_label,topic_prob,sentiment,polarity,subjectivity
comp.sys.mac.hardware,Topic 11,sale new,0.186,Positive,0.225,0.35
sport.hockey.nhl,Topic 8,wiki wiki,0.314,Negative,-0.195,0.624
sci.electronics.devices,Topic 23,power battery,0.195,Positive,0.633,0.367
comp.hardware.cpu,Topic 13,let put,0.232,Positive,0.25,0.312
sci.electronics.circuit,Topic 20,mile a car,0.348,Positive,0.102,0.469
rec.autos.buying,Topic 20,mile a car,0.391,Positive,0.167,0.487
sport.hockey.general,Topic 26,football player vs. football team,0.277,Positive,0.083,0.444
comp.windows.x,Topic 11,sale new,0.235,Positive,0.2,0.2
talk.religion.misc,Topic 30,president of the united states,0.292,Negative,-0.5,1.0
comp.graphics.software,Topic 16,file image,0.658,Positive,0.104,0.325
politics.guns.control,Topic 4,state law gun,0.23,Positive,0.134,0.452
comp.os.ms-windows.misc,Topic 30,president of the united states,0.19,Neutral,0.034,0.392
sci.crypt,Topic 30,president of the united states,0.292,Neutral,-0.023,0.507
sci.electronics.circuit,Topic 8,wiki wiki,0.292,Positive,0.174,0.602
comp.os.ms-windows.misc,Topic 16,file image,0.297,Positive,0.218,0.443
rec.autos.buying,Topic 13,let put,0.562,Negative,-0.156,1.0
comp.windows.x,Topic 22,window set color,0.246,Positive,0.148,0.531
comp.windows.x,Topic 9,space earth,0.228,Negative,-0.146,0.261
rec.motorcycles,Topic 2,taken home home,0.471,Positive,0.095,0.179
